enrolled2015,enrolled2016,enrolled2017,kg,region
25,na,na,ДГ №45 Алиса,Сердика
na,na,na,"ПГ в 42 ОУ ""Хаджи Димитър"" (полудневна организация)",Подуяне
34,28,na,ДГ №44 Калина (с яслени групи),Кремиковци
31,49,8,ДГ №42 Чайка (с яслени групи),Връбница
53,14,na,ДГ №43 Талант (с яслени групи),Триадица
15,na,na,ДГ №41 Приятели,Витоша
na,78,18,СДЯ №41 Ябълкова градина,Люлин
na,na,na,"ПГ в 40 СУ ""Луи Пастьор"" (полудневна организация)",Люлин
na,na,na,"ПГ в 41 ОУ ""Св. Патриарх Евтимий"" (полудневна организация)",Триадица
25,na,na,ДГ №40 Д-р Г. Ангушев,Триадица
na,37,13,СДЯ №38,Кремиковци
2,na,na,ДГ №40 Д-р Г. Ангушев - почасова организация,Триадица
na,na,na,"ПГ в 39 СУ ""Петър Динеков"" (полудневна организация)",Младост
42,30,8,ДГ №39 Пролет (с яслени групи),Овча купел
54,37,8,ДГ №38 Дора Габе (с яслени групи),Надежда
na,na,na,"ПГ в 37 СУ ""Райна Kнягиня"" (полудневна организация)",Люлин
50,20,21,ДГ №37 Вълшебство (с яслени групи),Витоша
na,49,28,СДЯ №36 Слънчево зайче,Изгрев
61,41,22,ДГ №36 Пеперуда (с яслени групи),Искър
56,29,11,ДГ №35 Щастливо детство (с яслени групи),Люлин
4,na,na,ДГ №35 Щастливо детство - почасова организация,Люлин
na,40,24,СДЯ №35 Вълшебство,Триадица
na,na,na,ДГ №34 Брезичка - почасова организация,Изгрев
36,16,21,ДГ №33 Сребърни звънчета (с яслени групи),Овча купел
47,33,7,ДГ №34 Брезичка (с яслени групи),Изгрев
na,na,na,"ПГ в 34 ОУ ""Стою Шишков"" (полудневна организация)",Красно село
30,30,10,ДГ №32 Българче (с яслени групи),Люлин
52,28,14,ДГ №31 Люлин (с яслени групи),Люлин
na,44,23,СДЯ №31 Палавници,Красно село
8,21,10,ДГ №30 Радецки - сграда 2,Изгрев
7,9,na,ДГ №30 Радецки (с яслени групи),Изгрев
na,na,na,"ПГ в 29 СУ ""Кузман Шапкарев"" (полудневна организация)",Сердика
64,38,18,ДГ №29 Слънце (с яслени групи),Изгрев
