address,enrolled2012chron,enrolled2012ord,enrolled2012sop,enrolled2012wg,enrolled2013chron,enrolled2013ord,enrolled2013sop,enrolled2013wg,enrolled2014chron,enrolled2014ord,enrolled2014sop,enrolled2014wg,enrolled2015chron,enrolled2015ord,enrolled2015sop,enrolled2015wg,enrolled2016chron,enrolled2016ord,enrolled2016sop,enrolled2016wg,enrolled2017chron,enrolled2017ord,enrolled2017sop,enrolled2017wg,enrolled2018chron,enrolled2018ord,enrolled2018sop,enrolled2018wg,kg,region,webpage
"гр.София,  ж.к. ""Младост 4"", до бл.436  ",5,35,1,3,13,21,3,2,18,58,0,1,4,30,0,1,8,42,0,0,0,4,0,0,0,0,0,0,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",Младост,https://kg.sofia.bg/isodz/dz/26;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Добротич"" № 48 ",1,23,2,0,1,43,2,0,1,57,0,0,11,25,0,0,2,30,0,0,5,20,0,0,0,0,0,0,ДГ №187 Жар птица (с яслени групи),Красна поляна,https://kg.sofia.bg/isodz/dz/46;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"с.Железница,  ул. ""Плана планина"", № 26",0,10,0,0,0,14,0,0,0,8,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,ДГ №181 Радост,Панчарево,https://kg.sofia.bg/isodz/dz/196;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  Враня,  бул. ""Цариградско шосе"" , №387",0,2,0,0,2,3,0,0,1,3,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ДГ №185 Звездичка - сграда Враня,Искър,https://kg.sofia.bg/isodz/dz/23;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж.к. ""Дружба"" II ",11,32,0,0,15,68,0,1,18,42,0,0,13,77,0,0,10,50,0,0,10,30,0,0,0,0,0,0,ДГ №185 Звездичка (с яслени групи),Искър,https://kg.sofia.bg/isodz/dz/53;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Хемус"", №10",10,46,0,0,6,59,0,0,7,55,0,0,15,75,0,0,5,20,0,0,0,1,0,0,0,0,0,0,ДГ №184 Мечо Пух (с яслени групи),Слатина,https://kg.sofia.bg/isodz/dz/90;jsessionid=B61DA1F6877670D965AC9BEF814AC209
" ул. ""Хемус""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №184 Мечо Пух - почасова организация,Слатина,https://kg.sofia.bg/isodz/dz/483;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ВЕЦ Пасарел, № 17",0,9,0,0,0,15,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №182 Пчелица,Панчарево,https://kg.sofia.bg/isodz/dz/114;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Цветан Радославов"", №30",1,26,0,0,0,52,0,0,0,51,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №183 Щастливо детство,Слатина,https://kg.sofia.bg/isodz/dz/165;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ВЕЦ Пасарел, № 17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №182 Пчелица - почасова организация,Панчарево,https://kg.sofia.bg/isodz/dz/364;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Kукуш"" № 34 ",0,51,0,0,4,46,0,1,3,52,0,0,1,60,0,0,5,34,0,1,5,6,0,0,0,0,0,0,ДГ №179 Синчец (с яслени групи),Илинден,https://kg.sofia.bg/isodz/dz/129;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ж.к. ""Младост 3"" до бл. 375",3,23,0,0,1,52,0,0,8,35,0,0,0,5,0,0,5,20,0,1,5,20,0,1,0,0,0,0,ДГ №178 Сребърно копитце - сграда 2,Младост,https://kg.sofia.bg/isodz/dz/280;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"с.Герман,  ул. ""Патриарх Герман"", № 81А",0,24,0,0,2,30,1,0,0,33,2,0,0,30,0,0,5,20,0,0,0,0,0,0,0,0,0,0,ДГ №180 Зайченцето бяло (с яслени групи),Панчарево,https://kg.sofia.bg/isodz/dz/50;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Витиня"" до бл. 100 ",1,44,2,0,0,52,1,0,0,29,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №177 Лютиче,Подуяне,https://kg.sofia.bg/isodz/dz/85;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"гр.София,  ул. ""Витиня"" до бл. 100 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ДГ №177 Лютиче - почасова организация,Подуяне,https://kg.sofia.bg/isodz/dz/362;jsessionid=B61DA1F6877670D965AC9BEF814AC209
"с.Световрачене,  ул. ""Софийска"" № 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ПГ в 177 ОУ ""Св. Св. Кирил и Методий"" (полудневна организация)",Нови Искър,https://kg.sofia.bg/isodz/dz/494;jsessionid=B61DA1F6877670D965AC9BEF814AC209
