born,kg,places,region,tail,webpage
2017,ДГ №198 Косе Босе (с яслени групи),6,Връбница,Общи,https://kg.sofia.bg/isodz/dz/307
2016,ДГ №193 Славейче,4,Лозенец,Соп,https://kg.sofia.bg/isodz/dz/132
2016,ДГ №193 Славейче,4,Лозенец,Хронични,https://kg.sofia.bg/isodz/dz/132
2016,ДГ №193 Славейче,12,Лозенец,Социални,https://kg.sofia.bg/isodz/dz/132
2016,ДГ №193 Славейче,28,Лозенец,Общи,https://kg.sofia.bg/isodz/dz/132
2016,ДГ №189 Сто усмивки (с яслени групи),4,Младост,Соп,https://kg.sofia.bg/isodz/dz/302
2016,ДГ №189 Сто усмивки (с яслени групи),1,Младост,Хронични,https://kg.sofia.bg/isodz/dz/302
2016,ДГ №189 Сто усмивки (с яслени групи),7,Младост,Социални,https://kg.sofia.bg/isodz/dz/302
2016,ДГ №189 Сто усмивки (с яслени групи),17,Младост,Общи,https://kg.sofia.bg/isodz/dz/302
2016,ДГ №194 Милувка,15,Възраждане,Общи,https://kg.sofia.bg/isodz/dz/191
2017,ДГ №189 Сто усмивки (с яслени групи),0,Младост,Соп,https://kg.sofia.bg/isodz/dz/302
2017,ДГ №189 Сто усмивки (с яслени групи),3,Младост,Хронични,https://kg.sofia.bg/isodz/dz/302
2017,ДГ №189 Сто усмивки (с яслени групи),7,Младост,Социални,https://kg.sofia.bg/isodz/dz/302
2017,ДГ №189 Сто усмивки (с яслени групи),16,Младост,Общи,https://kg.sofia.bg/isodz/dz/302
2016,ДГ №186 Деница (с яслени групи),0,Младост,Соп,https://kg.sofia.bg/isodz/dz/28
2016,ДГ №186 Деница (с яслени групи),0,Младост,Хронични,https://kg.sofia.bg/isodz/dz/28
2016,ДГ №186 Деница (с яслени групи),0,Младост,Социални,https://kg.sofia.bg/isodz/dz/28
2016,ДГ №186 Деница (с яслени групи),0,Младост,Общи,https://kg.sofia.bg/isodz/dz/28
2017,ДГ №186 Деница (с яслени групи),0,Младост,Соп,https://kg.sofia.bg/isodz/dz/28
2017,ДГ №186 Деница (с яслени групи),0,Младост,Хронични,https://kg.sofia.bg/isodz/dz/28
2017,ДГ №186 Деница (с яслени групи),0,Младост,Социални,https://kg.sofia.bg/isodz/dz/28
2017,ДГ №186 Деница (с яслени групи),0,Младост,Общи,https://kg.sofia.bg/isodz/dz/28
2016,ДГ №186 Деница - почасова организация,0,Младост,Соп,https://kg.sofia.bg/isodz/dz/492
2016,ДГ №186 Деница - почасова организация,0,Младост,Хронични,https://kg.sofia.bg/isodz/dz/492
2016,ДГ №186 Деница - почасова организация,1,Младост,Социални,https://kg.sofia.bg/isodz/dz/492
2016,ДГ №186 Деница - почасова организация,3,Младост,Общи,https://kg.sofia.bg/isodz/dz/492
2016,ДГ №187 Жар птица (с яслени групи),0,Красна поляна,Соп,https://kg.sofia.bg/isodz/dz/46
2016,ДГ №187 Жар птица (с яслени групи),0,Красна поляна,Хронични,https://kg.sofia.bg/isodz/dz/46
2016,ДГ №187 Жар птица (с яслени групи),0,Красна поляна,Социални,https://kg.sofia.bg/isodz/dz/46
2016,ДГ №187 Жар птица (с яслени групи),0,Красна поляна,Общи,https://kg.sofia.bg/isodz/dz/46
2017,ДГ №187 Жар птица (с яслени групи),0,Красна поляна,Соп,https://kg.sofia.bg/isodz/dz/46
2017,ДГ №187 Жар птица (с яслени групи),0,Красна поляна,Хронични,https://kg.sofia.bg/isodz/dz/46
2017,ДГ №187 Жар птица (с яслени групи),0,Красна поляна,Социални,https://kg.sofia.bg/isodz/dz/46
2017,ДГ №187 Жар птица (с яслени групи),0,Красна поляна,Общи,https://kg.sofia.bg/isodz/dz/46
2018,ДГ №186 Деница (с яслени групи),0,Младост,Соп,https://kg.sofia.bg/isodz/dz/28
2018,ДГ №186 Деница (с яслени групи),3,Младост,Хронични,https://kg.sofia.bg/isodz/dz/28
2018,ДГ №186 Деница (с яслени групи),7,Младост,Социални,https://kg.sofia.bg/isodz/dz/28
2018,ДГ №186 Деница (с яслени групи),16,Младост,Общи,https://kg.sofia.bg/isodz/dz/28
2016,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",6,Младост,Соп,https://kg.sofia.bg/isodz/dz/26
2016,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",1,Младост,Хронични,https://kg.sofia.bg/isodz/dz/26
2016,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",8,Младост,Социални,https://kg.sofia.bg/isodz/dz/26
2016,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",19,Младост,Общи,https://kg.sofia.bg/isodz/dz/26
2018,ДГ №187 Жар птица (с яслени групи),0,Красна поляна,Соп,https://kg.sofia.bg/isodz/dz/46
2018,ДГ №187 Жар птица (с яслени групи),3,Красна поляна,Хронични,https://kg.sofia.bg/isodz/dz/46
2018,ДГ №187 Жар птица (с яслени групи),6,Красна поляна,Социални,https://kg.sofia.bg/isodz/dz/46
2018,ДГ №187 Жар птица (с яслени групи),15,Красна поляна,Общи,https://kg.sofia.bg/isodz/dz/46
2017,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",0,Младост,Соп,https://kg.sofia.bg/isodz/dz/26
2017,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",2,Младост,Хронични,https://kg.sofia.bg/isodz/dz/26
2017,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",3,Младост,Социални,https://kg.sofia.bg/isodz/dz/26
2017,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",8,Младост,Общи,https://kg.sofia.bg/isodz/dz/26
2018,"ДГ №188 Вяра, Надежда, Любов (с яслени групи)",0,Младост,Соп,https://kg.sofia.bg/isodz/dz/26
